Planet,Mass (10^24 kg),Orbital Period (Earth days)
Mercury,0.33,88
Venus,4.87,225
Earth,5.97,365
Mars,0.642,68
Jupiter,1898,4333
Saturn,568,10759
Uranus,86.8,30687
Neptune,102,60190
